PET,Times,Weights,FC,TC,STR,THA,WB,CBL,StartTime,Duration
flfp_2,1455.0,1.0,318.91564162008024,300.7732614349757,306.20793787436105,360.2740461540725,285.4366127391728,321.67082257036844,1275.0,360.0
flfp_2,1815.0,0.996971,294.3349576825794,284.037257444033,279.68443768109336,349.29767605297866,268.3087046702619,300.92088775196527,1635.0,360.0
flfp_2,2175.0,0.994492,273.5431782239315,267.16813600813765,262.8140241022925,337.2141863047324,252.37638985694446,284.9775821552037,1995.0,360.0
flfp_2,2535.0,0.992474,250.46288123807463,248.44937956326447,234.14027451616533,306.82609138752207,235.30444642444294,267.20297319957626,2355.0,360.0
flfp_2,2895.0,0.990764,233.34009097892203,234.561239857606,222.37133990932983,302.6740418008113,222.6828473289848,252.50781540556778,2715.0,360.0
flfp_2,3255.0,0.989349,218.05212571913253,219.2702805314171,204.56107552026145,286.2515945593939,210.26602915810605,240.38323098175505,3075.0,360.0
flfp_2,3615.0,0.988184,201.3016292777337,207.18893147221237,195.28558566233684,271.9964738969262,198.8311278083983,220.9580987026741,3435.0,360.0
flfp_2,3975.0,0.987226,191.90152376778744,193.4156601862733,181.0290843942234,252.9903253458697,187.5718086172866,210.77533140099558,3795.0,360.0
flfp_2,4335.0,0.986395,176.29812947319823,183.34294667125988,162.15062401420386,243.9615292295866,178.13899423860775,196.6107084673881,4155.0,360.0
flfp_2,4695.0,0.985723,163.6483829290337,176.77994286762373,169.60576396832926,220.4754554681937,168.69288132212196,185.43858235733458,4515.0,360.0
flfp_2,5055.0,0.985179,153.41798494472667,165.02258333051157,153.2268600501113,216.92756082092265,159.0275029709965,181.6373995668256,4875.0,360.0
flfp_2,5415.0,0.984721,142.03486452330145,155.56000787550295,140.15625768703362,199.00416002460145,151.11814325146824,171.15576620712048,5235.0,360.0
jdcs_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jdcs_1,34.0,0.0,0.002445736552297278,0.0,0.0,0.0,2.994454782676623e-4,0.0,29.0,10.0
jdcs_1,44.0,0.905795,89.75331514820202,86.12402635512446,81.33551688003215,72.38043291135489,77.74239940139172,96.35245306081322,39.0,10.0
jdcs_1,54.0,0.905466,271.09433075566204,257.85186888404917,248.82735801869086,263.78534281164013,240.04396229954196,321.75712277623745,49.0,10.0
jdcs_1,64.0,0.905459,293.47366577288307,276.1966550473775,274.62517387381286,280.45095001630364,258.08540905673306,322.66355539404026,59.0,10.0
jdcs_1,74.0,0.90546,307.78378184477117,274.72695348983626,290.7578233998082,296.6303612333597,262.62137608524927,315.4476774595507,69.0,10.0
jdcs_1,84.0,0.905455,317.70802324033116,288.6674440869459,298.04109893702804,293.18026484292363,271.1552262449104,323.42580467071076,79.0,10.0
jdcs_1,94.0,0.905451,333.7937941106853,292.86768355140134,319.5695193654104,334.6654192850338,279.42788726563583,331.54952702982234,89.0,10.0
jdcs_1,104.0,0.90545,327.9270606916589,288.8427816671451,300.6131130960024,328.7636059099691,279.0527572839185,332.54495080670245,99.0,10.0
jdcs_1,119.0,0.905901,340.982751470952,293.73536932131805,312.9074603795963,336.9924378447016,285.5005457076225,337.6112941565243,109.0,20.0
jdcs_1,139.0,0.905885,343.31628300497385,305.9552481984151,317.74117774363316,350.6948322645841,287.4301746694101,337.03925953574,129.0,20.0
jdcs_1,159.0,0.905875,347.70116571896097,303.9092605233267,338.41083820175936,316.69175205321267,287.2907292601178,330.8406872530034,149.0,20.0
jdcs_1,179.0,0.905856,350.2123536946181,306.61347794522067,322.37096530743025,313.9326374177688,290.8041571979043,335.5097944877626,169.0,20.0
